epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.8842,0,104.582,0,0,0,0,0,0,82.5555,0,3.076e-05,3.076e-05,3.076e-05
2,18.1361,0,103.296,0,0,0,0,0,0,82.5953,0,6.78396e-05,6.78396e-05,6.78396e-05
3,26.1845,0,101.22,0,0,0,0,0,0,82.5685,0,0.000103397,0.000103397,0.000103397
4,34.5914,0,98.8915,0,0,0,0,0,0,82.46,0,0.000137431,0.000137431,0.000137431
5,43.2135,0,97.2417,0,0,0,0,0,0,82.1957,0,0.000169943,0.000169943,0.000169943
6,51.53,0,95.533,0,0,0,0,0,0,81.8962,0,0.000200932,0.000200932,0.000200932
7,59.9203,0,93.6039,0,0,0,0,0,0,81.2977,0,0.000230399,0.000230399,0.000230399
8,68.1699,0,91.8139,0,0,0,0,0,0,80.7097,0,0.000258342,0.000258342,0.000258342
9,77.0858,0,89.945,0,0,0,0,0,0,79.1274,0,0.000284764,0.000284764,0.000284764
10,85.3778,0,88.1945,0,0,0,0,0,0,77.4934,0,0.000309662,0.000309662,0.000309662
11,93.5633,0,86.5974,0,0,0,0,0,0,75.0913,0,0.000333039,0.000333039,0.000333039
12,101.72,0,86.7818,0,0,0,0,0,0,72.5567,0,0.000354892,0.000354892,0.000354892
13,109.848,0,85.1692,0,0,0,0,0,0,71.3542,0,0.000375223,0.000375223,0.000375223
14,119.35,0,84.1766,0,0,0,0,0,0,68.5341,0,0.000394031,0.000394031,0.000394031
15,127.64,0,83.1644,0,0,0,0,0,0,65.1059,0,0.000411317,0.000411317,0.000411317
16,136.296,0,82.1292,0,0,0,0,0,0,63.3899,0,0.00042708,0.00042708,0.00042708
17,144.471,0,81.4157,0,0,0,0,0,0,60.9214,0,0.00044132,0.00044132,0.00044132
18,152.655,0,80.9407,0,0,0,0,0,0,60.4558,0,0.000454038,0.000454038,0.000454038
19,160.883,0,80.826,0,0,0,0,0,0,60.3422,0,0.000465233,0.000465233,0.000465233
20,169.074,0,79.52,0,0,0,0,0,0,60.8322,0,0.000474905,0.000474905,0.000474905
21,177.096,0,78.7944,0,0,0,0,0,0,61.2123,0,0.000464476,0.000464476,0.000464476
22,185.238,0,78.0066,0,0,0,0,0,0,61.8282,0,0.00044925,0.00044925,0.00044925
23,193.338,0,77.4352,0,0,0,0,0,0,61.9926,0,0.000434024,0.000434024,0.000434024
24,201.521,0,76.9767,0,0,0,0,0,0,60.9563,0,0.000418797,0.000418797,0.000418797
25,209.842,0,76.4644,0,0,0,0,0,0,60.573,0,0.000403571,0.000403571,0.000403571
26,218.055,0,75.8081,0,0,0,0,0,0,60.4446,0,0.000388345,0.000388345,0.000388345
27,226.151,0,75.2681,0,0,0,0,0,0,60.8183,0,0.000373119,0.000373119,0.000373119
28,234.347,0,74.8453,0,0,0,0,0,0,66.918,0,0.000357893,0.000357893,0.000357893
29,242.754,0,74.304,0,0,0,0,0,0,65.2031,0,0.000342666,0.000342666,0.000342666
30,250.845,0,74.2491,0,0,0,0,0,0,65.6664,0,0.00032744,0.00032744,0.00032744
31,258.996,0,73.6409,0,0,0,0,0,0,184.585,0,0.000312214,0.000312214,0.000312214
32,267.073,0,73.0734,0,0,0,0,0,0,115.327,0,0.000296988,0.000296988,0.000296988
33,275.151,0,72.7879,0,0,0,0,0,0,111.2,0,0.000281762,0.000281762,0.000281762
34,283.331,0,72.3644,0,0,0,0,0,0,149.395,0,0.000266535,0.000266535,0.000266535
35,291.568,0,72.0281,0,0,0,0,0,0,105.624,0,0.000251309,0.000251309,0.000251309
36,299.639,0,71.8643,0,0,0,0,0,0,84.5135,0,0.000236083,0.000236083,0.000236083
37,307.768,0,71.3748,0,0,0,0,0,0,68.0563,0,0.000220857,0.000220857,0.000220857
38,315.898,0,71.0398,0,0,0,0,0,0,72.8234,0,0.000205631,0.000205631,0.000205631
39,323.933,0,70.8301,0,0,0,0,0,0,79.9136,0,0.000190404,0.000190404,0.000190404
40,332.129,0,70.5388,0,0,0,0,0,0,83.6012,0,0.000175178,0.000175178,0.000175178
41,340.207,0,70.8152,0,0,0,0,0,0,146.454,0,0.000159952,0.000159952,0.000159952
42,348.273,0,70.4646,0,0,0,0,0,0,173.89,0,0.000144726,0.000144726,0.000144726
43,356.294,0,70.2408,0,0,0,0,0,0,135.21,0,0.0001295,0.0001295,0.0001295
44,364.367,0,69.9596,0,0,0,0,0,0,92.6365,0,0.000114273,0.000114273,0.000114273
45,372.19,0,69.7617,0,0,0,0,0,0,81.9087,0,9.90472e-05,9.90472e-05,9.90472e-05
46,380.51,0,69.6181,0,0,0,0,0,0,80.3761,0,8.3821e-05,8.3821e-05,8.3821e-05
47,388.795,0,69.5179,0,0,0,0,0,0,83.1739,0,6.85948e-05,6.85948e-05,6.85948e-05
48,396.945,0,69.4446,0,0,0,0,0,0,93.7409,0,5.33686e-05,5.33686e-05,5.33686e-05
49,405.059,0,69.4178,0,0,0,0,0,0,113.844,0,3.81424e-05,3.81424e-05,3.81424e-05
50,413.084,0,69.3825,0,0,0,0,0,0,152.036,0,2.29162e-05,2.29162e-05,2.29162e-05
