Experiment parameters,,,,
parameter,value,,,
title,Seddelgjenkjenning: Brukertest,,,
experiment type,Category Judgement,,,
delay between stimuli switching,200ms,,,
Background colour,#808080,,,
Stimuli spacing,15px,,,
Same pair twice (flipped),no,,,
Show original,no,,,
,,,,
Image sets,,,,
set name,file name,,,
Upscaled - riktig,Upscale_00001_.png,,,
Upscaled - riktig,Upscale_00002_.png,,,
Upscaled - riktig,Upscale_00004_.png,,,
Upscaled - riktig,Upscale_00008_.png,,,
Upscaled - riktig,VeryGoodExample.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00323_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00021_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00024_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00025_.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00173_.png,,,
3265,8172,Prompt-&-parameter-testing_00024_.png,Usikker,7
3265,8172,Prompt-&-parameter-testing_00021_.png,Trolig falsk,5
3265,8172,Upscale_00004_.png,Trolig ekte,16
3265,8172,Lora-test_00004_.png,Usikker,18
3265,8172,669b85b6f3f69.png,Trolig ekte,6
3265,8172,generated_140.png,Trolig falsk,6
3265,8172,367641-alexfas01.png,Helt sikker ekte,10
3265,8172,generated_57.png,Usikker,4
3266,8173,Upscale_00001_.png,Trolig falsk,36
3266,8173,Upscale_00004_.png,Usikker,38
3266,8173,367641-alexfas01.png,Usikker,34
3266,8173,generated_140.png,Trolig falsk,22
3266,8173,New-dataset_batch_00173_.png,Trolig falsk,25
3266,8173,generated_88.png,Trolig ekte,245
3266,8173,s-l120016_2.png,Trolig ekte,21
3266,8173,Prompt-&-parameter-testing_00024_.png,Trolig falsk,21
3266,8173,generated_49.png,Trolig ekte,18
3266,8173,s-l120012_1.png,Trolig falsk,22
3266,8173,VeryGoodExample.png,Helt sikker falsk,21
3266,8173,Upscale_00008_.png,Helt sikker falsk,19
3266,8173,Lora-test_00003_.png,Helt sikker falsk,18
3266,8173,Lora-test_00005_.png,Helt sikker falsk,22
3266,8173,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,16
3266,8173,New-dataset_batch_00323_.png,Helt sikker falsk,11
3266,8173,generated_187.png,Helt sikker falsk,19
3266,8173,Upscale_00002_.png,Helt sikker falsk,10
3266,8173,generated_57.png,Helt sikker falsk,15
3266,8173,Lora-test_00004_.png,Usikker,24
3266,8173,Lora-test_00001_.png,Usikker,26
3266,8173,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,17
3266,8173,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,18
3266,8173,Lora-test_00002_.png,Helt sikker falsk,17
3266,8173,669b85b6f3f69.png,Trolig ekte,15
3267,8174,generated_187.png,Trolig falsk,19
3267,8174,Lora-test_00001_.png,Helt sikker falsk,17
3267,8174,generated_57.png,Trolig falsk,16
3267,8174,generated_88.png,Usikker,6
3267,8174,Lora-test_00004_.png,Helt sikker falsk,8
3267,8174,Lora-test_00002_.png,Helt sikker falsk,5
3267,8174,Upscale_00008_.png,Helt sikker ekte,8
3267,8174,Prompt-&-parameter-testing_00025_.png,Usikker,19
3267,8174,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Helt sikker ekte,6
3267,8174,New-dataset_batch_00323_.png,Helt sikker falsk,4
3267,8174,VeryGoodExample.png,Trolig falsk,13
3267,8174,generated_49.png,Trolig falsk,11
3267,8174,Prompt-&-parameter-testing_00024_.png,Trolig falsk,62
3267,8174,s-l120016_2.png,Helt sikker ekte,10
3267,8174,Upscale_00001_.png,Helt sikker falsk,11
3267,8174,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,8
3267,8174,New-dataset_batch_00173_.png,Helt sikker falsk,3
3267,8174,s-l120012_1.png,Usikker,17
3267,8174,Lora-test_00005_.png,Helt sikker falsk,11
3267,8174,367641-alexfas01.png,Helt sikker ekte,8
3267,8174,Upscale_00004_.png,Helt sikker falsk,12
3267,8174,generated_140.png,Trolig falsk,13
3267,8174,Lora-test_00003_.png,Helt sikker falsk,5
3267,8174,Upscale_00002_.png,Trolig falsk,3
3267,8174,669b85b6f3f69.png,Trolig ekte,4
3268,8175,s-l120012_1.png,Trolig ekte,18
3268,8175,generated_187.png,Helt sikker falsk,8
3268,8175,Lora-test_00003_.png,Helt sikker falsk,13
3268,8175,Prompt-&-parameter-testing_00024_.png,Trolig falsk,10
3268,8175,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,10
3268,8175,New-dataset_batch_00173_.png,Trolig falsk,12
3268,8175,generated_140.png,Helt sikker falsk,3
3268,8175,Lora-test_00004_.png,Helt sikker falsk,4
3268,8175,New-dataset_batch_00323_.png,Trolig falsk,5
3268,8175,generated_88.png,Helt sikker falsk,2
3268,8175,Lora-test_00001_.png,Trolig falsk,2
3268,8175,Upscale_00004_.png,Trolig falsk,8
3268,8175,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Helt sikker ekte,7
3268,8175,generated_49.png,Helt sikker falsk,8
3268,8175,Upscale_00002_.png,Trolig falsk,5
3268,8175,Prompt-&-parameter-testing_00025_.png,Trolig falsk,4
3268,8175,669b85b6f3f69.png,Trolig ekte,6
3268,8175,Upscale_00001_.png,Trolig falsk,10
3268,8175,VeryGoodExample.png,Trolig falsk,4
3268,8175,Lora-test_00005_.png,Helt sikker falsk,2
3268,8175,Lora-test_00002_.png,Trolig falsk,3
3268,8175,367641-alexfas01.png,Trolig ekte,5
3268,8175,generated_57.png,Helt sikker falsk,3
3268,8175,s-l120016_2.png,Trolig ekte,6
3268,8175,Upscale_00008_.png,Helt sikker falsk,2
3269,8176,New-dataset_batch_00323_.png,Helt sikker falsk,18
3269,8176,Lora-test_00005_.png,Trolig falsk,18
3269,8176,Lora-test_00004_.png,Helt sikker falsk,17
3269,8176,generated_88.png,Helt sikker falsk,13
3269,8176,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,20
3269,8176,Upscale_00008_.png,Helt sikker falsk,10
3269,8176,s-l120016_2.png,Usikker,20
3269,8176,Upscale_00004_.png,Helt sikker falsk,7
3269,8176,Upscale_00001_.png,Helt sikker falsk,8
3269,8176,Prompt-&-parameter-testing_00024_.png,Helt sikker falsk,8
3269,8176,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,8
3269,8176,generated_187.png,Helt sikker falsk,7
3269,8176,s-l120012_1.png,Trolig ekte,20
3269,8176,Lora-test_00002_.png,Helt sikker falsk,7
3269,8176,generated_140.png,Helt sikker falsk,8
3269,8176,Lora-test_00003_.png,Helt sikker falsk,6
3269,8176,Lora-test_00001_.png,Helt sikker falsk,4
3269,8176,VeryGoodExample.png,Helt sikker falsk,3
3269,8176,Upscale_00002_.png,Helt sikker falsk,2
3269,8176,669b85b6f3f69.png,Helt sikker falsk,15
3269,8176,367641-alexfas01.png,Trolig ekte,16
3269,8176,generated_57.png,Helt sikker falsk,7
3269,8176,New-dataset_batch_00173_.png,Helt sikker falsk,18
3269,8176,generated_49.png,Helt sikker falsk,6
3269,8176,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,8
3270,8177,generated_187.png,Trolig falsk,19
3270,8177,New-dataset_batch_00173_.png,Usikker,24
3270,8177,generated_49.png,Helt sikker falsk,21
3270,8177,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,17
3270,8177,generated_88.png,Helt sikker falsk,13
3270,8177,Lora-test_00005_.png,Helt sikker falsk,12
3270,8177,Upscale_00008_.png,Helt sikker falsk,12
3270,8177,Upscale_00004_.png,Helt sikker falsk,14
3270,8177,Prompt-&-parameter-testing_00024_.png,Trolig falsk,20
3270,8177,s-l120016_2.png,Helt sikker ekte,17
3270,8177,Upscale_00002_.png,Helt sikker falsk,7
3270,8177,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,9
3270,8177,VeryGoodExample.png,Helt sikker falsk,6
3270,8177,Lora-test_00001_.png,Helt sikker falsk,7
3270,8177,Lora-test_00004_.png,Helt sikker falsk,7
3270,8177,generated_57.png,Helt sikker falsk,8
3270,8177,669b85b6f3f69.png,Trolig ekte,18
3270,8177,Lora-test_00002_.png,Helt sikker falsk,5
3270,8177,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,5
3270,8177,Lora-test_00003_.png,Helt sikker falsk,5
3270,8177,New-dataset_batch_00323_.png,Helt sikker falsk,6
3270,8177,s-l120012_1.png,Trolig ekte,19
3270,8177,Upscale_00001_.png,Helt sikker falsk,7
3270,8177,367641-alexfas01.png,Trolig ekte,13
3270,8177,generated_140.png,Helt sikker falsk,8
3271,8178,generated_88.png,Trolig falsk,27
3271,8178,Lora-test_00002_.png,Helt sikker falsk,17
3271,8178,generated_140.png,Trolig falsk,28
3271,8178,669b85b6f3f69.png,Trolig ekte,20
3271,8178,generated_57.png,Helt sikker falsk,9
3271,8178,367641-alexfas01.png,Helt sikker ekte,28
3271,8178,Prompt-&-parameter-testing_00021_.png,Trolig falsk,17
3271,8178,New-dataset_batch_00323_.png,Helt sikker ekte,20
3271,8178,Lora-test_00001_.png,Trolig falsk,17
3271,8178,s-l120016_2.png,Helt sikker falsk,19
3271,8178,Lora-test_00005_.png,Trolig falsk,8
3271,8178,Upscale_00004_.png,Trolig ekte,16
3271,8178,Upscale_00002_.png,Trolig ekte,15
3271,8178,Prompt-&-parameter-testing_00024_.png,Trolig falsk,7
3271,8178,Lora-test_00003_.png,Helt sikker falsk,4
3271,8178,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Helt sikker ekte,12
3271,8178,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,16
3271,8178,Lora-test_00004_.png,Trolig falsk,10
3271,8178,generated_49.png,Helt sikker falsk,13
3271,8178,Upscale_00001_.png,Usikker,16
3271,8178,s-l120012_1.png,Trolig ekte,15
3271,8178,Upscale_00008_.png,Usikker,16
3271,8178,generated_187.png,Helt sikker falsk,7
3271,8178,VeryGoodExample.png,Trolig ekte,10
3271,8178,New-dataset_batch_00173_.png,Trolig ekte,17
3272,8179,Lora-test_00005_.png,Trolig falsk,14
3272,8179,generated_140.png,Trolig falsk,14
3272,8179,generated_88.png,Trolig falsk,32
3272,8179,Upscale_00008_.png,Trolig ekte,17
3272,8179,669b85b6f3f69.png,Helt sikker ekte,7
3272,8179,Upscale_00004_.png,Usikker,9
3272,8179,Lora-test_00002_.png,Trolig falsk,6
3272,8179,s-l120012_1.png,Helt sikker ekte,8
3272,8179,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Helt sikker ekte,11
3272,8179,generated_57.png,Trolig falsk,6
3272,8179,New-dataset_batch_00323_.png,Trolig falsk,6
3272,8179,367641-alexfas01.png,Helt sikker ekte,8
3272,8179,New-dataset_batch_00173_.png,Helt sikker falsk,5
3272,8179,VeryGoodExample.png,Helt sikker falsk,6
3272,8179,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,9
3272,8179,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,9
3272,8179,Upscale_00001_.png,Helt sikker falsk,10
3272,8179,generated_49.png,Helt sikker falsk,4
3272,8179,Upscale_00002_.png,Helt sikker falsk,8
3272,8179,Prompt-&-parameter-testing_00024_.png,Helt sikker falsk,11
3272,8179,s-l120016_2.png,Trolig ekte,11
3272,8179,Lora-test_00004_.png,Helt sikker falsk,4
3272,8179,generated_187.png,Helt sikker falsk,4
3272,8179,Lora-test_00003_.png,Helt sikker falsk,3
3272,8179,Lora-test_00001_.png,Helt sikker falsk,5
3274,8180,New-dataset_batch_00323_.png,Helt sikker falsk,20
3274,8180,Upscale_00008_.png,Trolig ekte,10
3274,8180,New-dataset_batch_00173_.png,Usikker,11
3274,8180,Lora-test_00003_.png,Usikker,26
3274,8180,generated_49.png,Trolig ekte,10
3274,8180,Lora-test_00005_.png,Helt sikker falsk,10
3274,8180,Lora-test_00004_.png,Trolig ekte,10
3274,8180,VeryGoodExample.png,Helt sikker ekte,4
3274,8180,Lora-test_00001_.png,Trolig ekte,5
3274,8180,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,3
3274,8180,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,2
3274,8180,s-l120016_2.png,Trolig falsk,3
3274,8180,367641-alexfas01.png,Trolig ekte,4
3274,8180,Prompt-&-parameter-testing_00024_.png,Trolig falsk,1905
3274,8180,Lora-test_00002_.png,Helt sikker falsk,3
3274,8180,Upscale_00004_.png,Helt sikker falsk,2
3274,8180,Upscale_00001_.png,Trolig ekte,3
3274,8180,generated_140.png,Trolig falsk,3
3274,8180,669b85b6f3f69.png,Helt sikker ekte,3
3274,8180,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,2
3274,8180,generated_187.png,Helt sikker falsk,2
3274,8180,s-l120012_1.png,Usikker,2
3274,8180,generated_88.png,Usikker,2
3274,8180,generated_57.png,Trolig falsk,2
3274,8180,Upscale_00002_.png,Helt sikker falsk,3
3276,8184,Lora-test_00003_.png,Helt sikker falsk,22
3276,8184,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,14
3276,8184,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Helt sikker ekte,13
3276,8184,Lora-test_00001_.png,Usikker,18
3276,8184,s-l120016_2.png,Helt sikker ekte,14
3276,8184,Lora-test_00005_.png,Trolig falsk,16
3276,8184,Upscale_00004_.png,Trolig falsk,15
3276,8184,Lora-test_00004_.png,Helt sikker falsk,7
3276,8184,generated_57.png,Helt sikker falsk,5
3276,8184,Upscale_00008_.png,Helt sikker falsk,12
3276,8184,Lora-test_00002_.png,Helt sikker falsk,7
3276,8184,Upscale_00002_.png,Trolig falsk,15
3276,8184,generated_140.png,Helt sikker falsk,8
3276,8184,367641-alexfas01.png,Helt sikker ekte,7
3276,8184,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,9
3276,8184,Prompt-&-parameter-testing_00024_.png,Trolig falsk,9
3276,8184,generated_187.png,Helt sikker falsk,3
3276,8184,Upscale_00001_.png,Helt sikker falsk,6
3276,8184,VeryGoodExample.png,Helt sikker falsk,5
3276,8184,s-l120012_1.png,Trolig ekte,9
3276,8184,generated_88.png,Helt sikker falsk,2
3276,8184,New-dataset_batch_00323_.png,Helt sikker falsk,6
3276,8184,generated_49.png,Helt sikker falsk,2
3276,8184,New-dataset_batch_00173_.png,Helt sikker falsk,6
3276,8184,669b85b6f3f69.png,Helt sikker ekte,9
3277,8185,367641-alexfas01.png,Trolig falsk,11
3277,8185,Upscale_00008_.png,Usikker,6
3277,8185,generated_187.png,Helt sikker falsk,7
3277,8185,Lora-test_00003_.png,Trolig ekte,11
3277,8185,Prompt-&-parameter-testing_00021_.png,Trolig ekte,8
3277,8185,Upscale_00002_.png,Trolig falsk,4
3277,8185,New-dataset_batch_00323_.png,Usikker,4
3277,8185,Lora-test_00004_.png,Trolig falsk,6
3277,8185,s-l120012_1.png,Trolig ekte,4
3277,8185,generated_49.png,Helt sikker falsk,4
3277,8185,Lora-test_00002_.png,Helt sikker falsk,15
3277,8185,Prompt-&-parameter-testing_00024_.png,Helt sikker falsk,12
3277,8185,VeryGoodExample.png,Helt sikker falsk,4
3277,8185,generated_88.png,Helt sikker falsk,3
3277,8185,Upscale_00001_.png,Helt sikker falsk,9
3277,8185,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Helt sikker ekte,5
3277,8185,669b85b6f3f69.png,Helt sikker ekte,5
3277,8185,generated_140.png,Helt sikker falsk,3
3277,8185,generated_57.png,Helt sikker falsk,2
3277,8185,Lora-test_00001_.png,Helt sikker falsk,2
3277,8185,s-l120016_2.png,Helt sikker ekte,4
3277,8185,New-dataset_batch_00173_.png,Helt sikker falsk,3
3277,8185,Upscale_00004_.png,Helt sikker falsk,2
3277,8185,Prompt-&-parameter-testing_00025_.png,Helt sikker falsk,3
3277,8185,Lora-test_00005_.png,Helt sikker falsk,2
,,,,
Inputs meta data,,,,
id,input title,,,
2894,Erfaring med AI-genererte bilder?,,,
2895,Kjønn,,,
2896,Alder,,,
,,,,
Inputs results,,,,
observer,input title,answer,,
3243,Erfaring med AI-genererte bilder?,Lite,,
3243,Kjønn,Mann,,
3243,Alder,24,,
3244,Erfaring med AI-genererte bilder?,,,
3244,Kjønn,,,
3244,Alder,,,
3245,Erfaring med AI-genererte bilder?,En god del,,
3245,Kjønn,Apache helikopter,,
3245,Alder,-100,,
3247,Erfaring med AI-genererte bilder?,Nada,,
3247,Kjønn,Voksen gutt,,
3247,Alder,22,,
3248,Erfaring med AI-genererte bilder?,Ja,,
3248,Kjønn,kvinne,,
3248,Alder,24,,
3250,Erfaring med AI-genererte bilder?,Nei,,
3250,Kjønn,Mann,,
3250,Alder,22,,
3252,Erfaring med AI-genererte bilder?,Noe,,
3252,Kjønn,Jente,,
3252,Alder,22,,
3253,Erfaring med AI-genererte bilder?,Har lekt litt med å generere bilder i chatgpt.,,
3253,Kjønn,Mann,,
3253,Alder,23,,
3254,Erfaring med AI-genererte bilder?,god,,
3254,Kjønn,mann,,
3254,Alder,21,,
3255,Erfaring med AI-genererte bilder?,,,
3255,Kjønn,,,
3255,Alder,,,
3256,Erfaring med AI-genererte bilder?,Bare litt testing på privaten.,,
3256,Kjønn,Mann,,
3256,Alder,33,,
3257,Erfaring med AI-genererte bilder?,Lite,,
3257,Kjønn,Kvinne,,
3257,Alder,25,,
3257,Erfaring med AI-genererte bilder?,Lite,,
3257,Kjønn,Kvinne,,
3257,Alder,25,,
3258,Erfaring med AI-genererte bilder?,Har sett generativt AI bli brukt i både uprofesjonelt og profesjonell sammenheng,,
3258,Kjønn,Kvinne,,
3258,Alder,31,,
3261,Erfaring med AI-genererte bilder?,helt ok, 6/10,,
3261,Kjønn,mann,,
3261,Alder,22,,
3262,Erfaring med AI-genererte bilder?,,,
3262,Kjønn,,,
3262,Alder,,,
3263,Erfaring med AI-genererte bilder?,Veldig lite,,
3263,Kjønn,Mann,,
3263,Alder,24,,
3264,Erfaring med AI-genererte bilder?,Noe,,
3264,Kjønn,Kvinne,,
3264,Alder,23,,
3265,Erfaring med AI-genererte bilder?,God,,
3265,Kjønn,Kvinne,,
3265,Alder,23,,
3266,Erfaring med AI-genererte bilder?,Lite,,
3266,Kjønn,Mann,,
3266,Alder,60,,
3267,Erfaring med AI-genererte bilder?,Ingen,,
3267,Kjønn,Mann,,
3267,Alder,18,,
3268,Erfaring med AI-genererte bilder?,Høy erfaring,,
3268,Kjønn,Mann,,
3268,Alder,24,,
3269,Erfaring med AI-genererte bilder?,Tja litt, har sett noen hender som er kokt, og den berømte will smith spaghetti videoen og noen sora showcases,,
3269,Kjønn,Mannlig mann,,
3269,Alder,25,,
3270,Erfaring med AI-genererte bilder?,Noe men ikke mye,,
3270,Kjønn,Kvinne,,
3270,Alder,52,,
3271,Erfaring med AI-genererte bilder?,Noe erfaring,,
3271,Kjønn,Mann,,
3271,Alder,54,,
3272,Erfaring med AI-genererte bilder?,Lekte rundt når det først var en ting (DALL-E), har ikke selv generet mye siden men er ofte kritisk og greier å spotte AI genererte bilder når de tydlig viser tegn til det.,,
3272,Kjønn,Mann,,
3272,Alder,22,,
3274,Erfaring med AI-genererte bilder?,Ja jeg ai generer bilder av vennene mine hele tiden, bruket chatgpt for å generere bildene,,
3274,Kjønn,Mann,,
3274,Alder,22,,
3276,Erfaring med AI-genererte bilder?,Generert en god del bilder i alt fra interiør til GUI for systemutvikling,,
3276,Kjønn,Mann,,
3276,Alder,27,,
3277,Erfaring med AI-genererte bilder?,Ja,,
3277,Kjønn,Mann,,
3277,Alder,34,,
