Experiment parameters,,,,
parameter,value,,,
title,Seddelgjenkjenning: Brukertest,,,
experiment type,Category Judgement,,,
delay between stimuli switching,200ms,,,
Background colour,#808080,,,
Stimuli spacing,15px,,,
Same pair twice (flipped),no,,,
Show original,no,,,
,,,,
Image sets,,,,
set name,file name,,,
Upscaled - riktig,Upscale_00001_.png,,,
Upscaled - riktig,Upscale_00002_.png,,,
Upscaled - riktig,Upscale_00004_.png,,,
Upscaled - riktig,Upscale_00008_.png,,,
Upscaled - riktig,VeryGoodExample.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00323_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00021_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00024_.png,,,
Z-Image Turbo - riktig,Prompt-&-parameter-testing_00025_.png,,,
Z-Image Turbo - riktig,New-dataset_batch_00173_.png,,,
3247,8155,generated_140.png,Trolig falsk,5
3247,8155,Upscale_00002_.png,Trolig falsk,9
3247,8155,generated_49.png,Trolig falsk,4
3247,8155,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,3
3247,8155,generated_88.png,Trolig falsk,2
3247,8155,Lora-test_00004_.png,Helt sikker falsk,2
3248,8156,s-l120016_2.png,Trolig ekte,33
3248,8156,New-dataset_batch_00173_.png,Trolig falsk,17
3248,8156,generated_57.png,Trolig falsk,14
3248,8156,Upscale_00002_.png,Trolig falsk,6
3248,8156,Upscale_00008_.png,Trolig ekte,5
3248,8156,367641-alexfas01.png,Trolig ekte,6
3248,8156,generated_140.png,Trolig ekte,10
3248,8156,Lora-test_00004_.png,Trolig falsk,13
3248,8156,669b85b6f3f69.png,Trolig ekte,13
3248,8156,Prompt-&-parameter-testing_00021_.png,Trolig falsk,4
3248,8156,Upscale_00001_.png,Trolig falsk,9
3248,8156,s-l120012_1.png,Trolig ekte,8
3248,8156,Prompt-&-parameter-testing_00025_.png,Trolig falsk,6
3248,8156,Lora-test_00001_.png,Trolig falsk,7
3248,8156,Lora-test_00003_.png,Trolig falsk,151
3248,8156,New-dataset_batch_00323_.png,Trolig falsk,9
3248,8156,Lora-test_00002_.png,Trolig falsk,18
3248,8156,generated_88.png,Trolig falsk,13
3248,8156,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig falsk,26
3248,8156,VeryGoodExample.png,Trolig ekte,24
3248,8156,Prompt-&-parameter-testing_00024_.png,Trolig falsk,19
3248,8156,generated_187.png,Trolig ekte,18
3248,8156,Upscale_00004_.png,Trolig ekte,10
3248,8156,Lora-test_00005_.png,Trolig falsk,12
3248,8156,generated_49.png,Trolig ekte,9
3250,8157,Prompt-&-parameter-testing_00021_.png,Trolig falsk,11
3250,8157,Upscale_00002_.png,Trolig falsk,7
3250,8157,generated_88.png,Trolig ekte,6
3250,8157,Upscale_00008_.png,Trolig falsk,3
3250,8157,Lora-test_00002_.png,Trolig falsk,2
3250,8157,generated_140.png,Trolig ekte,3
3250,8157,New-dataset_batch_00323_.png,Trolig falsk,2
3250,8157,Lora-test_00003_.png,Trolig falsk,2
3250,8157,s-l120016_2.png,Trolig ekte,3
3250,8157,Lora-test_00004_.png,Trolig falsk,3
3250,8157,generated_49.png,Usikker,3
3250,8157,Upscale_00001_.png,Trolig ekte,7
3250,8157,s-l120012_1.png,Trolig ekte,3
3250,8157,Lora-test_00005_.png,Trolig falsk,2
3250,8157,367641-alexfas01.png,Trolig ekte,3
3250,8157,Prompt-&-parameter-testing_00024_.png,Trolig falsk,4
3250,8157,Prompt-&-parameter-testing_00025_.png,Trolig falsk,2
3250,8157,generated_57.png,Trolig falsk,12
3250,8157,New-dataset_batch_00173_.png,Trolig falsk,9
3250,8157,669b85b6f3f69.png,Trolig ekte,4
3250,8157,Upscale_00004_.png,Trolig ekte,14
3250,8157,Lora-test_00001_.png,Trolig falsk,8
3250,8157,generated_187.png,Trolig falsk,2
3250,8157,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,3
3250,8157,VeryGoodExample.png,Trolig falsk,2
3252,8158,VeryGoodExample.png,Trolig ekte,10
3252,8158,generated_140.png,Trolig falsk,12
3252,8158,Upscale_00008_.png,Trolig ekte,5
3252,8158,Upscale_00004_.png,Trolig ekte,3
3252,8158,s-l120016_2.png,Trolig ekte,4
3252,8158,Prompt-&-parameter-testing_00025_.png,Trolig ekte,3
3252,8158,generated_88.png,Trolig falsk,13
3252,8158,one-hundred-dollar-bill-on-a-black-plate-front-view-financial-concept-photo2_1.png,Trolig ekte,6
3252,8158,Prompt-&-parameter-testing_00024_.png,Trolig ekte,6
3252,8158,669b85b6f3f69.png,Helt sikker ekte,5
3252,8158,Lora-test_00005_.png,Helt sikker falsk,3
3252,8158,Lora-test_00003_.png,Helt sikker falsk,3
3252,8158,New-dataset_batch_00323_.png,Helt sikker falsk,3
3252,8158,generated_187.png,Helt sikker falsk,3
3252,8158,s-l120012_1.png,Helt sikker ekte,10
3252,8158,generated_57.png,Helt sikker falsk,2
3252,8158,Upscale_00002_.png,Helt sikker falsk,4
3252,8158,New-dataset_batch_00173_.png,Helt sikker falsk,2
3252,8158,367641-alexfas01.png,Helt sikker ekte,4
3252,8158,Lora-test_00002_.png,Helt sikker falsk,2
3252,8158,Lora-test_00004_.png,Helt sikker falsk,3
3252,8158,Prompt-&-parameter-testing_00021_.png,Helt sikker falsk,2
3252,8158,generated_49.png,Helt sikker falsk,2
3252,8158,Upscale_00001_.png,Helt sikker falsk,5
3252,8158,Lora-test_00001_.png,Helt sikker falsk,3
3253,8159,Prompt-&-parameter-testing_00025_.png,Trolig falsk,22
